S.No,Date,Samvatsara,Ayana,Rithu,Maasa,Paksha,Thithi,Nakshatra,Yoga,Karana,Sh. Thithi,Raahu,Yamakanda,T End Time,N End Time,Y EndTIme,K EndTIme,Vaasara,Events,Maasa Niyamaka,Sh Thithi End Time,Gulika,SunriseTime,SunsetTime,MoonriseTime,MoonsetTime
40,26-Apr-18,Vilambi,Uttarayana,Vasanta,Vaishakha,Shukla,Ekadashi,Purvaphalguni,Dhruva,Bhadra,,,,9:41 AM,2:50 PM,5:09 PM,9:41 AM,Guruwara,,Kamala-Madhusudana,,,6:18,,,
41,27-Apr-18,Vilambi,Uttarayana,Vasanta,Vaishakha,Shukla,Dwadashi,Uttaraphalguni,Vyaghata,Balava,,,,8:06 AM,2:04 PM,2:53 PM,8:06 AM,Baarghavawara,,Kamala-Madhusudana,,,6:18,,,
42,28-Apr-18,Vilambi,Uttarayana,Vasanta,Vaishakha,Shukla,Trayodashi,Hasta,Harshana,Taitila,,,,6:53 AM,1:42 PM,12:56 PM,6:53 AM,Sthirawara,,Kamala-Madhusudana,,,6:18,,,
43,29-Apr-18,Vilambi,Uttarayana,Vasanta,Vaishakha,Shukla,Poornima,Chitta,Vajra,Bhadra,,,,5:49 AM,1:45 PM,11:20 AM,5:57 PM,Baanuwara,,Kamala-Madhusudana,,,6:17,,,
44,30-Apr-18,Vilambi,Uttarayana,Vasanta,Vaishakha,Krishna,Pratipad,Swati,Siddhi,Balava,,,,6:01 AM,2:19 PM,10:08 AM,5:55 PM,Induwara,,Raama-Trivikrama,,,6:17,,,
45,01-May-18,Vilambi,Uttarayana,Vasanta,Vaishakha,Krishna,Dvitya,Vishakha,Vyatipata,Taitila,,,,6:16 AM,3:22 PM,9:20 AM,6:22 PM,Boumawara,,Raama-Trivikrama,,,6:16,,,
46,02-May-18,Vilambi,Uttarayana,Vasanta,Vaishakha,Krishna,Dvitya,Anuradha,Variyan,Gara,,,,6:45 AM,4:55 PM,8:56 AM,6:45 AM,Soumyawara,,Raama-Trivikrama,,,6:16,,,
47,03-May-18,Vilambi,Uttarayana,Vasanta,Vaishakha,Krishna,Tritiya,Jyeshta,Parigha,Bhadra,,,,7:57 AM,6:54 PM,8:55 AM,7:57 AM,Guruwara,,Raama-Trivikrama,,,6:16,,,
48,04-May-18,Vilambi,Uttarayana,Vasanta,Vaishakha,Krishna,Chaturthi,Moola,Shiva,Balava,,,,9:32 AM,9:13 PM,9:10 AM,9:32 AM,Baarghavawara,,Raama-Trivikrama,,,6:15,,,
49,05-May-18,Vilambi,Uttarayana,Vasanta,Vaishakha,Krishna,Panchami,Purvashadha,Siddha,Taitila,,,,11:26 AM,11:47 PM,9:41 AM,11:26 AM,Sthirawara,,Raama-Trivikrama,,,6:15,,,
50,06-May-18,Vilambi,Uttarayana,Vasanta,Vaishakha,Krishna,Shashti,Uttarashadha,Sadhya,Vanija,,,,1:29 PM,2:24 AM,10:18 AM,1:29 PM,Baanuwara,,Raama-Trivikrama,,,6:15,,,
51,07-May-18,Vilambi,Uttarayana,Vasanta,Vaishakha,Krishna,Saptami,Sharavana,Shubha,Bhava,,,,3:29 PM,4:54 AM,10:55 AM,3:29 PM,Induwara,,Raama-Trivikrama,,,6:14,,,
52,08-May-18,Vilambi,Uttarayana,Vasanta,Vaishakha,Krishna,Ashtami,Dhanishta,Shukla,Kaulava,,,,5:18 PM,6:14 AM,11:25 AM,5:18 PM,Boumawara,,Raama-Trivikrama,,,6:14,,,
53,09-May-18,Vilambi,Uttarayana,Vasanta,Vaishakha,Krishna,Navami,Dhanishta,Brahma,Gara,,,,6:48 PM,7:10 AM,11:42 AM,6:48 PM,Soumyawara,,Raama-Trivikrama,,,6:14,,,
54,10-May-18,Vilambi,Uttarayana,Vasanta,Vaishakha,Krishna,Dasami,Shatabhisha,Indra,Vanija,,,,7:51 PM,9:02 AM,11:39 AM,7:22 AM,Guruwara,,Raama-Trivikrama,,,6:13,,,
55,11-May-18,Vilambi,Uttarayana,Vasanta,Vaishakha,Krishna,Ekadashi,Purvabhadra,Vaidhriti,Bhava,,,,8:26 PM,10:28 AM,11:15 AM,8:11 AM,Baarghavawara,,Raama-Trivikrama,,,6:13,,,
56,12-May-18,Vilambi,Uttarayana,Vasanta,Vaishakha,Krishna,Dwadashi,Uttarabhadra,Vishkambha,Kaulava,,,,8:30 PM,11:25 AM,10:27 AM,8:31 AM,Sthirawara,,Raama-Trivikrama,,,6:13,,,
57,13-May-18,Vilambi,Uttarayana,Vasanta,Vaishakha,Krishna,Trayodashi,Revati,Priti,Gara,,,,8:02 PM,11:50 AM,9:14 AM,8:18 AM,Baanuwara,,Raama-Trivikrama,,,6:12,,,
58,14-May-18,Vilambi,Uttarayana,Vasanta,Vaishakha,Krishna,Chaturdashi,Ashwini,Ayushman,Bhadra,,,,7:08 PM,11:48 AM,7:38 AM,7:38 AM,Induwara,,Raama-Trivikrama,,,6:12,,,
59,15-May-18,Vilambi,Uttarayana,Vasanta,Vaishakha,Krishna,Amavasya,Bharani,Shobhana,Chatuspat,,,,5:47 PM,11:19 AM,3:24 AM,6:30 AM,Boumawara,,Raama-Trivikrama,,,6:11,,,
60,16-May-18,Vilambi,Uttarayana,Grishma,Adhika-Jyestha,Shukla,Pratipad,Krittika,Atiganda,Bhava,,,,4:04 PM,10:28 AM,12:51 AM,4:04 PM,Soumyawara,,Aananda-Purushothama,,,6:11,,,
61,17-May-18,Vilambi,Uttarayana,Grishma,Adhika-Jyestha,Shukla,Dvitya,Rohini,Sukarma,Kaulava,,,,2:05 PM,9:18 AM,10:06 PM,2:05 PM,Guruwara,,Aananda-Purushothama,,,6:11,,,
62,18-May-18,Vilambi,Uttarayana,Grishma,Adhika-Jyestha,Shukla,Tritiya,Mrigashira,Dhriti,Gara,,,,11:50 AM,7:52 AM,7:09 PM,11:50 AM,Baarghavawara,,Aananda-Purushothama,,,6:10,,,
63,19-May-18,Vilambi,Uttarayana,Grishma,Adhika-Jyestha,Shukla,Chaturthi,Ardra,Sula,Bhadra,,,,9:28 AM,6:18 AM,4:08 PM,9:28 AM,Sthirawara,,Aananda-Purushothama,,,6:10,,,
64,20-May-18,Vilambi,Uttarayana,Grishma,Adhika-Jyestha,Shukla,Panchami,Pushya,Ganda,Balava,,,,7:00 AM,3:00 AM,1:03 PM,7:00 AM,Baanuwara,,Aananda-Purushothama,,,6:10,,,
