S.No,Day of Year,Samvatsara,Ayana,Rithu,Maasa,Paksha,Thithi,Nakshatra,Yoga,Karana,Sh. Thithi,Raahu,Yamakanda,T End Time,N End Time,,,Vaasara,Events,Maasa Niyamaka,Sh Thithi End Time,Gulika,SunriseTime,SunsetTime,MoonriseTime,MoonsetTime
32,108,Hevilambi,Uttarayana,Vasantha,Vaishakha,Shukla,Truthiya,Rohini,Shobana,Garaja,Chaturthi,09:00 a.m -10:30 a.m,01:30 p.m-03:00 p.m,10:53 a.m,02:56 p.m,,,Sthira,"Sri Parasurama Jayanthi, Akshaya Truthiya, Tretha Yugadi, Sri Vidyadhirajar Aradhane (Yaragola), Sri Vidyapathi Theerthar Aradhane (Kumbakonam), Sri Vidya Srinivasa Theerthar Aradhane (Sosale), Sri Vijayadhwaja Theerthar Aradhane (Kanvatheertha)",Sri Kamalalya Madhusudhana,,,,,,
33,109,Hevilambi,Uttarayana,Vasantha,Vaishakha,Shukla,Chaturthi,Mirugasirsha,Athiganda,Badra,Panchami,04:30 p.m -06:00 p.m,12:00 p.m-01:30 p.m,08:26 a.m,01:18 p.m,,,Baanu,,Sri Kamalalya Madhusudhana,,,,,,
34,110,Hevilambi,Uttarayana,Vasantha,Vaishakha,Shukla,Shasti,Arthra,Sukarma,Koulava,Shasti,07:30 a.m-09:00 a.m,12:00 p.m-01:30 p.m,03:57 p.m,11:45 a.m,,,Indu,,Sri Kamalalya Madhusudhana,,,,,,
35,111,Hevilambi,Uttarayana,Vasantha,Vaishakha,Shukla,Sapthami,Punarvasu,Soola,Garaja,Sapthami,03:00 p.m- 04:30 p.m,09:00 a.m-10:30 p.m,02:01 p.m,10:23 a.m,,,Bowma,Gangodhpathi,Sri Kamalalya Madhusudhana,,,,,,
36,112,Hevilambi,Uttarayana,Vasantha,Vaishakha,Shukla,Ashtami,Pushya,Kanda,Badra,Ashtami,12:00 p.m -01:30 p.m,07:30 a.m-09:00 a.m,12:24 a.m,09:17 a.m,,,Sowmya,Mothalkal Seshadasara Aradhane,Sri Kamalalya Madhusudhana,,,,,,
37,113,Hevilambi,Uttarayana,Vasantha,Vaishakha,Shukla,Navami,Ashlesha,Vrudhi,Baala,Navami,01:30 p.m -03:00 p.m,06:00 a.m-07:30 a.m,11:09 p.m,08:30 a.m,,,Guru,,Sri Kamalalya Madhusudhana,,,,,,
38,114,Hevilambi,Uttarayana,Vasantha,Vaishakha,Shukla,Dasami,Maga,Druva,Thaithila,Dasami,10:30 a.m-12:00 p.m,06:00 a.m-07:30 a.m,10:20 p.m,08:08 a.m,,,Baargava,,Sri Kamalalya Madhusudhana,,,,,,
39,115,Hevilambi,Uttarayana,Vasantha,Vaishakha,Shukla,Ekadasi,Poorvapalguni,Vyagadha,Vanik,-,09:00 a.m -10:30 a.m,01:30 p.m-03:00 p.m,09:59 p.m,08:46 a.m,,,Sthira,Ekadasi Upavasa,Sri Kamalalya Madhusudhana,,,,,,
40,116,Hevilambi,Uttarayana,Vasantha,Vaishakha,Shukla,Dwadasi,Uttarapalguni,Harshana,Bava,"Ekadasi, Dwadasi",04:30 p.m -06:00 p.m,12:00 p.m-01:30 p.m,10:09 p.m,08:46 p.m,,,Baanu,Sri Vidya Naada Theerthar (Kumbakonam),Sri Kamalalya Madhusudhana,,,,,,
41,117,Hevilambi,Uttarayana,Vasantha,Vaishakha,Shukla,Trayodasi,Hastha,Vajra,Kowlava,Trayodasi,07:30 a.m-09:00 a.m,12:00 p.m-01:30 p.m,10:49 p.m,09:51 a.m,,,Indu,Sri Vedavyasa Jayanthi,Sri Kamalalya Madhusudhana,,,,,,
42,118,Hevilambi,Uttarayana,Vasantha,Vaishakha,Shukla,Chaturdasi,siddha,Siddhi,Garaja,Chaturdasi,03:00 p.m- 04:30 p.m,09:00 a.m-10:30 p.m,11:56 p.m,11:24 a.m,,,Bowma,Sri Narasimha Jayanthi,Sri Kamalalya Madhusudhana,,,,,,
43,119,Hevilambi,Uttarayana,Vasantha,Vaishakha,Shukla,Pournami,Swathi,Vyathipada,Badra,Pournami,12:00 p.m -01:30 p.m,07:30 a.m-09:00 a.m,01:29 a.m,01:24 p.m,,,Sowmya,"Vaisakha Snana Poorthi, Sri Rajendra Theerthar Aradhane (Yaragola)",Sri Kamalalya Madhusudhana,,,,,,
