S.No,DATE,samvatsara,ayana,ritu,masa,paksha,TITHI  ,NAKSHTRA,YOGA,KARNA,Sh. Thithi,Raahu,Yamaganda,TITHI end time,NAKSHATRA END TIME,YOGA END TIME,KARANA END TIME,DAY,Events,masaniyamaka,S.Thithi End Time,Gulika,SUNRISE,SunSet,MoonRise,MoonSet
29,15-Apr-18,Vilambi,Uttarayana,Vasanta,Chaitra,Krishna,Chaturdashi,Revati,Vaidhriti,Shakuni,,,,7:50 AM,4:05 AM,1:12 AM,7:50 AM,Ravivara,,Kamala-Madhusudana,,,6:22,,,
30,16-Apr-18,Vilambi,Uttarayana,Vasanta,Chaitra,Krishna,Amavasya,Ashwini,Vishkambha,Nagavan,,,,7:25 AM,3:57 AM,11:30 PM,7:25 AM,Somavara,,Kamala-Madhusudana,,,6:22,,,
31,17-Apr-18,Vilambi,Uttarayana,Vasanta,Vaishakha,Shukla,Pratipad,Bharani,Priti,Bhava,,,,6:30 AM,3:22 AM,9:26 PM,6:30 AM,Mangalavara,,Kamala-Madhusudana,,,6:21,,,
32,18-Apr-18,Vilambi,Uttarayana,Vasanta,Vaishakha,Shukla,Tritiya,Krittika,Ayushman,Taitila,,,,3:29 AM,2:26 AM,7:04 PM,4:20 PM,Budhavara,,Kamala-Madhusudana,,,6:21,,,
33,19-Apr-18,Vilambi,Uttarayana,Vasanta,Vaishakha,Shukla,Chaturthi,Rohini,Soubhagya,Vanija,,,,1:31 AM,1:13 AM,4:27 PM,2:30 PM,Guruvara,,Kamala-Madhusudana,,,6:21,,,
34,20-Apr-18,Vilambi,Uttarayana,Vasanta,Vaishakha,Shukla,Panchami,Mrigashira,Shobhana,Bhava,,,,11:17 PM,11:44 PM,1:37 PM,12:24 PM,Shukravara,,Kamala-Madhusudana,,,6:20,,,
35,21-Apr-18,Vilambi,Uttarayana,Vasanta,Vaishakha,Shukla,Shashti,Ardra,Atiganda,Kaulava,,,,8:56 PM,10:09 PM,10:38 AM,10:07 AM,Shanivara,,Kamala-Madhusudana,,,6:20,,,
36,22-Apr-18,Vilambi,Uttarayana,Vasanta,Vaishakha,Shukla,Saptami,Punarvasu,Sukarma,Gara,,,,6:30 PM,8:29 PM,7:34 AM,7:44 AM,Ravivara,,Kamala-Madhusudana,,,6:20,,,
37,23-Apr-18,Vilambi,Uttarayana,Vasanta,Vaishakha,Shukla,Ashtami,Pushya,Sula,Bhava,,,,4:04 PM,6:49 PM,1:25 AM,4:04 PM,Somavara,,Kamala-Madhusudana,,,6:19,,,
38,24-Apr-18,Vilambi,Uttarayana,Vasanta,Vaishakha,Shukla,Navami,Ashlesha,Ganda,Kaulava,,,,1:45 PM,5:17 PM,10:29 PM,1:45 PM,Mangalavara,,Kamala-Madhusudana,,,6:19,,,
